Ac-No,Name,sTime,Verify Mod,Machine,Exception
5,5,6/26/2018 13:31,Fingerpint,1,
6,6,6/25/2018 13:47,Fingerpint,1,
6,6,6/25/2018 14:30,Fingerpint,1,
6,6,6/25/2018 18:58,Fingerpint,1,
6,6,6/26/2018 8:34,Fingerpint,1,
6,6,6/26/2018 8:43,Fingerpint,1,
6,6,6/26/2018 15:30,Fingerpint,1,
8,8,6/26/2018 10:26,Fingerpint,1,
24,24,6/25/2018 13:29,Fingerpint,1,
24,24,6/25/2018 19:05,Fingerpint,1,
24,24,6/26/2018 8:02,Fingerpint,1,
25,25,6/25/2018 8:18,Fingerpint,1,13183023
25,25,6/25/2018 13:18,Fingerpint,1,13183023
25,25,6/26/2018 8:21,Fingerpint,1,13183023
25,25,6/26/2018 11:27,Fingerpint,1,13183023
25,25,6/26/2018 14:56,Fingerpint,1,13183023
25,25,6/26/2018 17:58,Fingerpint,1,13183023
27,27,6/25/2018 13:55,Fingerpint,1,
28,28,6/25/2018 13:42,Fingerpint,1,
30,30,6/25/2018 13:18,Fingerpint,1,
30,30,6/25/2018 16:53,Fingerpint,1,
30,30,6/26/2018 8:14,Fingerpint,1,
30,30,6/26/2018 17:32,Fingerpint,1,
30,30,6/27/2018 8:46,Fingerpint,1,
31,31,6/25/2018 13:45,Fingerpint,1,
33,33,6/26/2018 9:05,Fingerpint,1,
33,33,6/26/2018 18:02,Fingerpint,1,
34,34,6/25/2018 13:23,Fingerpint,1,
34,34,6/25/2018 17:06,Fingerpint,1,
35,35,6/25/2018 13:35,Fingerpint,1,
35,35,6/25/2018 17:34,Fingerpint,1,
36,36,6/25/2018 13:22,Fingerpint,1,
36,36,6/26/2018 17:36,Fingerpint,1,
36,36,6/27/2018 8:47,Fingerpint,1,
37,37,6/25/2018 13:42,Fingerpint,1,
37,37,6/25/2018 17:05,Fingerpint,1,
38,38,6/25/2018 13:31,Fingerpint,1,
39,39,6/25/2018 14:28,Fingerpint,1,
41,41,6/25/2018 14:12,Fingerpint,1,
41,41,6/25/2018 19:04,Fingerpint,1,
41,41,6/26/2018 8:21,Fingerpint,1,
41,41,6/26/2018 18:21,Fingerpint,1,
43,43,6/25/2018 13:16,Fingerpint,1,
43,43,6/25/2018 18:00,Fingerpint,1,
43,43,6/26/2018 13:20,Fingerpint,1,
43,43,6/26/2018 17:37,Fingerpint,1,
43,43,6/27/2018 8:47,Fingerpint,1,
44,44,6/25/2018 13:20,Fingerpint,1,
48,48,6/25/2018 13:28,Fingerpint,1,
48,48,6/25/2018 17:50,Fingerpint,1,
49,49,6/25/2018 13:26,Fingerpint,1,
49,49,6/25/2018 18:08,Fingerpint,1,
49,49,6/26/2018 8:22,Fingerpint,1,
49,49,6/26/2018 17:55,Fingerpint,1,
58,58,6/25/2018 14:32,Fingerpint,1,
58,58,6/25/2018 14:35,Fingerpint,1,
58,58,6/25/2018 16:40,Fingerpint,1,
58,58,6/25/2018 17:29,Fingerpint,1,
58,58,6/25/2018 18:08,Fingerpint,1,
58,58,6/25/2018 19:05,Fingerpint,1,
58,58,6/26/2018 8:22,Fingerpint,1,
58,58,6/26/2018 9:00,Fingerpint,1,
58,58,6/27/2018 8:44,Fingerpint,1,
59,59,6/25/2018 13:25,Fingerpint,1,
